row_grain,state,msa_id,msa_cbsa_name,carrier_plan_name,billing_class,setting_type,pos,presence_status,total_weighted_rate_base,total_weighted_rate_new,delta_total_weighted_rate,pct_change_total_weighted_rate,pct_carrier_mrf_spend_base,pct_carrier_mrf_spend_new,delta_pct_carrier_mrf,pct_hospital_mrf_spend_base,pct_hospital_mrf_spend_new,delta_pct_hospital_mrf,pct_imputed_spend_base,pct_imputed_spend_new,delta_pct_imputed,pct_greenyellow_base,pct_greenyellow_new,delta_pct_greenyellow,pct_red_base,pct_red_new,delta_pct_red,pct_missing_base,pct_missing_new,delta_pct_missing,spend_ratio_vs_bcbs_base,spend_ratio_vs_bcbs_new,delta_spend_ratio_vs_bcbs,n_rates_greenyellow_base,n_rates_greenyellow_new,n_msas_base,n_msas_new,n_states_in_msa_base,n_states_in_msa_new,is_multistate_msa_base,is_multistate_msa_new,is_multistate_msa,n_states_in_msa,review_label_base,review_label_new,supplementary_label_base,supplementary_label_new,label_changed,label_transition,flag_needs_review_base,flag_needs_review_new,flag_canonical_count_base,flag_canonical_count_new,review_direction,flag_big_spend_swing,flag_stoplight_swing,flag_source_swing,flag_label_changed,flag_appeared,flag_disappeared,flag_changed_any
MSA,WI,43890,"Sparta, WI",Aetna Choice POS,professional,outpatient,Professional,BOTH,2997600,3367871,370271,12.35,53.46,60.58,7.12,0,0,0,46.54,39.42,-7.12,53.46,60.58,7.12,6.88,21.3,14.42,39.66,18.12,-21.54,1.073,1.1523,0.0793,19995,86553,1,1,1,1,false,false,false,1,clean,High Red,clean,"Off vs BCBS, Off vs Peers",1,clean  ->  High Red,0,1,0,1,regressed,1,1,0,1,0,0,1
MSA,WI,43890,"Sparta, WI",BCBS PPO,professional,outpatient,Professional,BOTH,2793677,2922749,129072,4.62,76.44,77.04,0.6,0,0,0,23.56,22.96,-0.6,76.44,77.04,0.6,11.74,11.39,-0.35,11.83,11.56,-0.27,1,1,0,95414,97377,1,1,1,1,false,false,false,1,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
MSA,WI,43890,"Sparta, WI",Cigna OAP,professional,outpatient,Professional,BOTH,2747717,3026047,278330,10.13,43.47,33.93,-9.54,0,0,0,56.53,66.07,9.54,43.47,33.93,-9.54,29.82,20.32,-9.5,26.71,45.76,19.05,0.9835,1.0353,0.0518,40754,39743,1,1,1,1,false,false,false,1,High Red,High Red,clean,clean,0,,1,1,1,1,stable,1,1,0,0,0,0,1
MSA,WI,43890,"Sparta, WI",UHC Choice POS Plus,professional,outpatient,Professional,BOTH,2736022,3006336,270314,9.88,49.44,32.4,-17.04,0,0,0,50.56,67.6,17.04,49.44,32.4,-17.04,15.66,15.99,0.33,34.9,51.61,16.71,0.9794,1.0286,0.0492,31277,49754,1,1,1,1,false,false,false,1,clean,High Missing,clean,clean,1,clean  ->  High Missing,0,1,0,1,regressed,0,1,1,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",Aetna Choice POS,TOTAL,TOTAL,All,BOTH,7052429,7496965,444536,6.3,32.1,44.14,12.04,1.65,0,-1.65,66.25,55.86,-10.39,33.75,44.14,10.39,12.49,15.9,3.41,53.77,39.96,-13.81,1.0144,1.0693,0.0549,42622,238529,1,1,1,1,false,false,false,1,"Low Hospital MRF, High Missing",Low Hospital MRF,clean,clean,1,"Low Hospital MRF, High Missing  ->  Low Hospital MRF",1,1,2,1,improved,0,1,1,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",BCBS PPO,TOTAL,TOTAL,All,BOTH,6952322,7011122,58800,0.85,56.65,59.7,3.05,7.61,0,-7.61,35.75,40.3,4.55,64.25,59.7,-4.55,21.96,27.14,5.18,13.79,13.16,-0.63,1,1,0,148583,174243,1,1,1,1,false,false,false,1,High Red,"Low Hospital MRF, High Red",clean,clean,1,"High Red  ->  Low Hospital MRF, High Red",1,1,1,2,regressed,0,0,0,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",Cigna OAP,TOTAL,TOTAL,All,BOTH,6893750,7152323,258573,3.75,9.28,6.78,-2.5,6.65,0,-6.65,84.07,93.22,9.15,15.93,6.78,-9.15,8.19,4.36,-3.83,75.88,88.86,12.98,0.9916,1.0201,0.0285,8906,10240,1,1,1,1,false,false,false,1,"Low Carrier MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",clean,clean,1,"Low Carrier MRF, High Missing  ->  Low Carrier MRF, Low Hospital MRF, High Missing",1,1,2,3,regressed,0,1,0,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",UHC Choice POS Plus,TOTAL,TOTAL,All,BOTH,7052721,7267391,214670,3.04,44.6,52.36,7.76,5.5,0,-5.5,49.91,47.64,-2.27,50.09,52.36,2.27,10.53,11.1,0.57,39.37,36.53,-2.84,1.0144,1.0366,0.0222,59303,109579,1,1,1,1,false,false,false,1,clean,Low Hospital MRF,clean,clean,1,clean  ->  Low Hospital MRF,0,1,0,1,regressed,0,0,0,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",Aetna Choice POS,institutional,inpatient,Inpatient,BOTH,1426986,1443767,16781,1.18,0,0,0,8.16,0,-8.16,91.84,100,8.16,8.16,0,-8.16,0,0,0,91.84,100,8.16,1.0906,1.0352,-0.0554,3,0,1,1,1,1,false,false,false,1,"Low Carrier MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",Sparse Sample,Sparse Sample,1,"Low Carrier MRF, High Missing  ->  Low Carrier MRF, Low Hospital MRF, High Missing",1,1,2,3,regressed,0,0,0,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",BCBS PPO,institutional,inpatient,Inpatient,BOTH,1308432,1394693,86261,6.59,60.49,83.86,23.37,16.97,0,-16.97,22.54,16.14,-6.4,77.46,83.86,6.4,13.38,10.9,-2.48,9.16,5.24,-3.92,1,1,0,1777,2332,1,1,1,1,false,false,false,1,clean,Low Hospital MRF,clean,clean,1,clean  ->  Low Hospital MRF,0,1,0,1,regressed,0,0,1,1,0,0,1
